Price_List_Code,Source_Type,Assign_to_No,Product_No,Description,Unit_Cost,Unit_Price,Line_Discount_Percent,Minimum_Quantity,Starting_Date,Ending_Date,Posting_Group
GNB-01,Customer Price Group,GNB,FH10-11222-50,"END CAPS SGL COMMERCIAL 1-3/4"" 20 GA 21"" UNIVERSAL",9.6128,13.73,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11232-10,"END CAPS SGL COMMERCIAL 1-3/4"" 20 GA 24"" PR",10.26772,14.67,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11232-50,"END CAPS SGL COMMERCIAL 1-3/4"" 20 GA 24"" UNIVERSAL",10.26775,14.67,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11322-10,"END CAPS SGL COMMERCIAL 2"" 20 GA 21"" PR",12.73,18.19,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11323-10,"END CAPS SGL COMMERCIAL 2"" 20 GA 24"" PR",13.79,19.7,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-11331-10,"END CAPS SGL COMMERCIAL 2"" 16 GA 24"" PR",9.28,13.26,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12122-10,"END CAPS DBL COMMERCIAL 1-1/2"" 20 GA 21"" PR",10.5714,15.1,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12132-10,"END CAPS DBL COMMERCIAL 1-1/2"" 20 GA 24"" PR",11.1418,15.92,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12222-10,"END CAPS DBL COMMERCIAL 1-3/4"" 20 GA 21"" PR",11.35557,16.22,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12232-10,"END CAPS DBL COMMERCIAL 1-3/4"" 20 GA 24"" PR",11.74367,16.78,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12232-50,"END CAPS DBL COMMERCIAL 1-3/4"" 20 GA 24"" UNIVERSAL",12.38,17.69,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12322-10,"END CAPS DBL COMMERCIAL 2"" 20 GA 21"" PR",11.5788,16.54,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-12332-10,"END CAPS DBL COMMERCIAL 2"" 20 GA 24"" PR",12.5984,18.0,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-31122-10,"END CAPS, KANATA 20 GA 21"" PR",11.18,15.97,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-31132-10,"END CAPS, KANATA 20 GA 24"" PR",12.46,17.8,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH10-41152-10,"END CAPS, CRAFT 20 GA 32"" PR",16.15,23.07,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH11-00003-00,EXHAUST PORT RINGS/COVER SET,82.75,118.21,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00003-00,SPADE HINGES (SET OF 4),9.77,13.96,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00004-00,"ROLLER CARRIER  4 HOLE, FOR SHELF BRACKET",3.73,5.33,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00004-02,"ROLLER CARRIER  4 HOLE, FOR SHELF BRACKET, POWDERCOATED",0.6,0.86,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00005-00,SHELF BRACKET (BRACKET ONLY),3.2558,4.65,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00005-02,"SHELF BRACKET (BRACKET ONLY), POWDERCOATED",2.88,4.11,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00012-00,"BRACKET, 3"" LHR BOTTOM BRACKET BB-6, PAIR",98.13,140.19,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00016-00,"BRACKET, TOP, STANDARD-COMM, GALV",1.72,2.46,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00016-01,"BRACKET, TOP, STANDARD-COMM, GALV POWDERCOATED",3.23,4.61,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00020-00,"HINGE, ADJUSTABLE FLAT CENTRE",1.23,1.76,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00020-02,"HINGE, ADJUSTABLE FLAT CENTRE, POWDERCOATED",2.34,3.34,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00023-00,"HINGE, OFFSET,3/4 HINGE CUT,14 GA GALV",1.63547,2.34,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00044-00,RESI BOTTOM BRACKET - BB9  LH,0.99474,1.42,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00045-00,RESI BOTTOM BRACKET - BB9 RH,0.99474,1.42,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00065-00,"BRACKET, TOP, LHDR, FOR 2"" & 3"" ROLLERS, GALV",1.2,1.71,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00068-00,"HINGE, OFFSET, #4, 11 GA, HEAVY DUTY",1.84667,2.64,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00068-02,"HINGE, OFFSET, #4, 11 GA, HEAVY DUTY, POWDERCOATED",5.67,8.1,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00069-00,"HINGE, OFFSET, #4, 14 GA, GALV",1.3165,1.88,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00069-02,"HINGE, OFFSET, #4, 14 GA, GALV, POWDERCOATED",2.496,3.57,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00070-00,"HINGE, OFFSET, #5, 11 GA, HEAVY DUTY",1.92939,2.76,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00070-02,"HINGE, OFFSET, #5, 11 GA, HEAVY DUTY, POWDERCOATED",4.74,6.77,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00071-00,"HINGE, OFFSET, #5, 14 GA, GALV",2.89229,4.13,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00071-02,"HINGE, OFFSET, #5, 14 GA, GALV, POWDERCOATED",2.784,3.98,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00072-00,"HINGE, OFFSET, #6, 11 GA, HEAVY DUTY",1.99692,2.85,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00072-01,"HINGE, OFFSET, #6, 11 GA, HEAVY DUTY, POWDER COATED",5.67,8.1,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00072-02,"HINGE, OFFSET, #6, 11 GA, HEAVY DUTY, POWDERCOATED",2.844,4.06,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00073-00,"HINGE, OFFSET, #7, 11 GA, HEAVY DUTY",2.0724,2.96,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00073-01,"HINGE, OFFSET, #7, 11 GA, HEAVY DUTY, POWDER COATED",5.1,7.29,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00073-02,"HINGE, OFFSET, #7, 11 GA, HEAVY DUTY, POWDERCOATED",5.1,7.29,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00074-00,"HINGE, OFFSET, #8, 11 GA, HEAVY DUTY",2.14867,3.07,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00074-01,"HINGE, OFFSET, #8, 11 GA, HEAVY DUTY, POWDER COATED",5.67,8.1,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00074-02,"HINGE, OFFSET, #8, 11 GA, HEAVY DUTY, POWDERCOATED",5.28,7.54,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00075-00,"HINGE, OFFSET, #9, 11 GA, HEAVY DUTY",2.09307,2.99,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00075-01,"HINGE, OFFSET, #9, 11 GA, HEAVY DUTY, POWDERCOATED",5.67,8.1,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00075-02,"HINGE, OFFSET, #9, 11 GA, HEAVY DUTY, POWDERCOATED",5.46,7.8,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00077-00,"HINGE, OFFSET, #1, 11 GA, HEAVY DUTY",1.53578,2.19,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00077-01,"HINGE, OFFSET, #1, 11 GA, HEAVY DUTY, POWDER COATED",7.2,10.29,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00077-02,"HINGE, OFFSET, #1, 11 GA, HEAVY DUTY, POWDERCOATED",3.78,5.4,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00078-00,"HINGE, OFFSET, #1, 14 GA, GALV",1.2373,1.77,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00078-02,"HINGE, OFFSET, #1, 14 GA, GALV, POWDERCOATED",2.244,3.21,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00079-00,"HINGE, OFFSET, #10, 11 GA, HEAVY DUTY",9.88622,14.12,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00079-02,"HINGE, OFFSET, #10, 11 GA, HEAVY DUTY, POWDERCOATED",5.64,8.06,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00080-00,"HINGE, OFFSET, #11, 11 GA, HEAVY DUTY",8.98,12.83,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00080-02,"HINGE, OFFSET, #11, 11 GA, HEAVY DUTY, POWDERCOATED",10.60533,15.15,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00081-00,"HINGE, OFFSET, #12, 11 GA, HEAVY DUTY",9.33,13.33,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00082-00,"HINGE, OFFSET, #2, 11 GA, HEAVY DUTY",1.5,2.14,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00082-02,"HINGE, OFFSET, #2, 11 GA, HEAVY DUTY, POWDERCOATED",4.23,6.04,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00083-00,"HINGE, OFFSET, #2, 14 GA, GALV",3.61914,5.17,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00083-02,"HINGE, OFFSET, #2, 14 GA, GALV, POWDERCOATED",2.4,3.43,0,0,2026-05-06,,HARD
